tracker,recording,event,stf,etf
pupil-labs,av1,validation1,2660,3540
pupil-labs,av1,baseline,3560,4300
pupil-labs,av1,vowels,4500,6000
pupil-labs,av1,eyebrows,6050,6950
pupil-labs,av1,mov_hor,7400,7960
pupil-labs,av1,mov_ver,8000,8600
pupil-labs,av1,mov_depth,8650,9300
pupil-labs,av1,validation2,9720,10490
pupil-labs,av2,validation1,3700,4480
pupil-labs,av2,baseline,4500,5200
pupil-labs,av2,vowels,5670,6830
pupil-labs,av2,eyebrows,6960,7680
pupil-labs,av2,mov_hor,7940,8570
pupil-labs,av2,mov_ver,8620,9280
pupil-labs,av2,mov_depth,9320,10000
pupil-labs,av2,validation2,10300,11040
pupil-labs,aw1,validation1,5610,6310
pupil-labs,aw1,baseline,6350,7080
pupil-labs,aw1,vowels,7220,8500
pupil-labs,aw1,eyebrows,8580,9340
pupil-labs,aw1,mov_hor,9560,10540
pupil-labs,aw1,mov_ver,10600,11220
pupil-labs,aw1,mov_depth,10270,10820
pupil-labs,aw1,validation2,12000,12580
pupil-labs,aw2,validation1,4020,4540
pupil-labs,aw2,baseline,4560,5340
pupil-labs,aw2,vowels,5400,6650
pupil-labs,aw2,eyebrows,6780,7610
pupil-labs,aw2,mov_hor,7780,8400
pupil-labs,aw2,mov_ver,8440,9220
pupil-labs,aw2,mov_depth,9280,9840
pupil-labs,aw2,validation2,10050,10680
pupil-labs,gh1,validation1,1740,2320
pupil-labs,gh1,baseline,2340,3100
pupil-labs,gh1,vowels,3130,4420
pupil-labs,gh1,eyebrows,4520,5300
pupil-labs,gh1,mov_hor,5660,6300
pupil-labs,gh1,mov_ver,6330,6950
pupil-labs,gh1,mov_depth,7000,7630
pupil-labs,gh1,validation2,7920,8500
pupil-labs,gh2,validation1,2210,2830
pupil-labs,gh2,baseline,2850,3500
pupil-labs,gh2,vowels,3590,4540
pupil-labs,gh2,eyebrows,5060,5830
pupil-labs,gh2,mov_hor,6000,6790
pupil-labs,gh2,mov_ver,6820,7550
pupil-labs,gh2,mov_depth,7630,8230
pupil-labs,gh2,validation2,9780,10420
pupil-labs,gl1,validation1,3810,5080
pupil-labs,gl1,baseline,5100,5700
pupil-labs,gl1,vowels,7000,8000
pupil-labs,gl1,eyebrows,8150,8980
pupil-labs,gl1,mov_hor,9350,9980
pupil-labs,gl1,mov_ver,10010,10520
pupil-labs,gl1,mov_depth,10560,11180
pupil-labs,gl1,validation2,11720,12670
pupil-labs,gl2,validation1,3350,4180
pupil-labs,gl2,baseline,4200,5200
pupil-labs,gl2,vowels,5280,6400
pupil-labs,gl2,eyebrows,6580,7290
pupil-labs,gl2,mov_hor,7620,8200
pupil-labs,gl2,mov_ver,8220,8880
pupil-labs,gl2,mov_depth,8920,9540
pupil-labs,gl2,validation2,10130,11090
pupil-labs,km1,validation1,4650,5150
pupil-labs,km1,baseline,5180,5960
pupil-labs,km1,vowels,6180,7400
pupil-labs,km1,eyebrows,7560,8250
pupil-labs,km1,mov_hor,8370,9000
pupil-labs,km1,mov_ver,9040,9660
pupil-labs,km1,mov_depth,9680,10270
pupil-labs,km1,validation2,10570,10940
pupil-labs,km2,validation1,2855,3260
pupil-labs,km2,baseline,3300,4000
pupil-labs,km2,vowels,4060,5350
pupil-labs,km2,eyebrows,5470,6180
pupil-labs,km2,mov_hor,6380,6980
pupil-labs,km2,mov_ver,7030,7590
pupil-labs,km2,mov_depth,7620,8260
pupil-labs,km2,validation2,8515,8980
pupil-labs,mn1,validation1,1335,2080
pupil-labs,mn1,baseline,2100,2760
pupil-labs,mn1,vowels,2780,3720
pupil-labs,mn1,eyebrows,3800,4700
pupil-labs,mn1,mov_hor,4860,5510
pupil-labs,mn1,mov_ver,5550,6190
pupil-labs,mn1,mov_depth,6260,7030
pupil-labs,mn1,validation2,7675,8310
pupil-labs,mn2,validation1,3900,4570
pupil-labs,mn2,baseline,4590,5260
pupil-labs,mn2,vowels,5360,6400
pupil-labs,mn2,eyebrows,6550,7330
pupil-labs,mn2,mov_hor,7520,8390
pupil-labs,mn2,mov_ver,8420,9010
pupil-labs,mn2,mov_depth,9070,9730
pupil-labs,mn2,validation2,10060,10740
pupil-labs,nh1,validation1,3410,4060
pupil-labs,nh1,baseline,4100,5080
pupil-labs,nh1,vowels,5200,7100
pupil-labs,nh1,eyebrows,7160,8040
pupil-labs,nh1,mov_hor,8400,9080
pupil-labs,nh1,mov_ver,9230,9970
pupil-labs,nh1,mov_depth,10080,10760
pupil-labs,nh1,validation2,11140,11680
pupil-labs,nh2,validation1,2680,3260
pupil-labs,nh2,baseline,3280,4140
pupil-labs,nh2,vowels,4560,5600
pupil-labs,nh2,eyebrows,5800,6520
pupil-labs,nh2,mov_hor,6730,7360
pupil-labs,nh2,mov_ver,7430,8030
pupil-labs,nh2,mov_depth,8100,8760
pupil-labs,nh2,validation2,10000,10560
pupil-labs,pt1,validation1,4420,5010
pupil-labs,pt1,baseline,5030,5870
pupil-labs,pt1,vowels,5950,6860
pupil-labs,pt1,eyebrows,6940,7660
pupil-labs,pt1,mov_hor,8240,8770
pupil-labs,pt1,mov_ver,8780,9470
pupil-labs,pt1,mov_depth,9500,10160
pupil-labs,pt1,validation2,10610,11220
pupil-labs,pt2,validation1,3765,4280
pupil-labs,pt2,baseline,4300,4960
pupil-labs,pt2,vowels,5150,6280
pupil-labs,pt2,eyebrows,6520,7410
pupil-labs,pt2,mov_hor,7720,8300
pupil-labs,pt2,mov_ver,8380,8980
