frame_idx	timestamp	confidence	errorDeg	dxCm	dyCm	gaze_ts	gaze_x	gaze_y
0.0	0.04166666667	1.0	19.43498750320307	43.02696304931641	-30.820050082702636	1545069.595	891.5999999999999	509.8900032
0.0	0.04166666667	1.0	19.32683465227847	42.87267380371094	-30.4885166506958	1545086.254	890.4499968	507.6199968
1.0	0.08333333333000001	1.0	19.40149395349612	43.02067642822266	-30.65927203704834	1545103.022	891.5299967999999	508.57000320000003
1.0	0.08333333333000001	1.0	19.398719430399254	43.07924729003906	-30.562811694641113	1545119.646	891.9400064	507.86999999999995
1.0	0.08333333333000001	1.0	19.397704858798296	43.049446875	-30.599620185394286	1545136.162	891.7299968	508.14
2.0	0.125	1.0	19.351870475808955	42.890236669921876	-30.590759120483398	1545152.8	891.3900031999999	507.7399968
2.0	0.125	1.0	19.40502617020499	43.0593345703125	-30.622893653411865	1545169.453	892.6099968	507.9
3.0	0.16666666667000002	1.0	19.396067656054424	42.97296982421875	-30.69864209701538	1545186.161	892.0	507.81
3.0	0.16666666667000002	1.0	19.41878112380192	43.079254919433595	-30.664724669952392	1545202.789	892.76	507.52999680000005
4.0	0.20833333332999998	1.0	19.473603208133763	43.08972244873047	-30.927660308380126	1545219.435	892.4700032	508.69000320000004
4.0	0.20833333332999998	1.0	19.45233247640102	43.04020767822266	-30.889218650360107	1545236.007	892.1100031999999	508.44
4.0	0.20833333332999998	1.0	19.47578854437737	43.19634323730469	-30.789659343261718	1545252.749	893.2200064	507.67999679999997
5.0	0.25	1.0	19.482219605678736	43.0797203125	-30.985076270599365	1545269.38	893.4399999999999	507.99
5.0	0.25	1.0	19.45087735747214	43.00987320556641	-30.92410310317993	1545285.91	892.9299967999999	507.5899968
6.0	0.29166666666999996	1.0	19.493713084874614	42.96128922119141	-31.206720672149658	1545302.7	892.8499968	508.38000000000005
6.0	0.29166666666999996	1.0	19.55651891199632	43.10533981933594	-31.32336600830078	1545319.223	893.9000063999999	509.14000319999997
6.0	0.29166666666999996	1.0	19.566250847927957	43.190033728027345	-31.255453429718017	1545335.986	894.5000064	508.6300032
7.0	0.33333333333000004	1.0	19.59786721992723	43.14008408203125	-31.482799373168945	1545352.426	893.9400064	508.44
7.0	0.33333333333000004	1.0	19.67003949799189	43.233795935058595	-31.715425811309814	1545369.172	894.64	510.03000000000003
7.0	0.33333333333000004	1.0	19.57786087334827	43.10899429931641	-31.425288043518066	1545385.81	893.7100032	508.04999999999995
8.0	0.375	1.0	19.61647787194052	43.05609970703125	-31.6902726512146	1545402.485	893.6700032	508.29
8.0	0.375	1.0	19.634001299275425	43.08741837158203	-31.73494990875244	1545419.029	893.9000063999999	508.59
9.0	0.41666666667	1.0	19.653985818270645	43.08204727783203	-31.841581664581298	1545435.626	893.96	508.42999679999997
9.0	0.41666666667	1.0	19.592229471014313	42.968972021484376	-31.687930427093505	1545452.288	893.1299968000001	507.40000319999996
9.0	0.41666666667	1.0	19.622713831638464	42.98918228759766	-31.811932406921386	1545468.907	893.2899967999999	508.26
10.0	0.45833333333000004	1.0	19.62571030964934	43.07122116699219	-31.715683303375243	1545485.656	893.8700031999999	506.9200032
10.0	0.45833333333000004	1.0	19.6415571258168	43.205292517089845	-31.61206277420044	1545502.18	894.8199936000001	506.1400032
11.0	0.5	1.0	19.70649935641082	43.24473648681641	-31.882289729614257	1545518.808	894.64	508.0399968
11.0	0.5	1.0	19.65025211132083	43.25237351074219	-31.591146789093017	1545535.548	894.6599936	505.99999679999996
11.0	0.5	1.0	19.625312720518192	43.175942236328126	-31.57098611404419	1545552.078	894.1100031999999	505.89
12.0	0.5416666666700001	1.0	19.655743996177282	43.30677109375	-31.54407723953247	1545568.716	895.0899968	505.6999968
12.0	0.5416666666700001	1.0	19.58477761606333	43.22285538330078	-31.303287349243163	1545585.38	894.4599936	504.04999680000003
12.0	0.5416666666700001	1.0	19.59254070493685	43.25792008056641	-31.293895087738036	1545602.103	894.7100032000001	503.96999999999997
13.0	0.5833333333299999	1.0	19.577607616988104	43.32048874511719	-31.13181146194458	1545618.658	895.6899968	503.02999679999994
13.0	0.5833333333299999	1.0	19.573592181337638	43.16082840576172	-31.33263524581909	1545635.428	894.5699967999999	504.4999968000001
14.0	0.625	1.0	19.549133738122265	43.256989294433595	-31.076302848358154	1545651.921	895.0799999999999	502.48000320000006
14.0	0.625	1.0	19.632432128253207	43.309967810058595	-31.422663054962158	1545668.703	895.4999936	504.8800032
15.0	0.6666666666700001	1.0	19.557270664976	43.20911484375	-31.18384488632202	1545685.332	895.0600064	502.39999680000005
15.0	0.6666666666700001	1.0	19.604522734991736	43.32360916748047	-31.26333173324585	1545701.819	895.8899968000001	502.90999680000004
16.0	0.7083333333299999	1.0	19.65650081758474	43.19841843261719	-31.696076713104247	1545718.475	895.4999936	505.27999680000005
16.0	0.7083333333299999	1.0	19.586772988918273	43.10851364746094	-31.4705460887146	1545735.207	894.8300032	503.7400032
16.0	0.7083333333299999	1.0	19.61114390560623	43.21497421875	-31.446536384124755	1545751.723	895.5900032	503.5300032
17.0	0.75	1.0	19.59116204662915	42.98029404296875	-31.66726430465698	1545768.366	894.9299968	504.7099968
17.0	0.75	1.0	19.59045028192831	43.07582932128906	-31.533634028930663	1545785.039	895.6	503.7400032
18.0	0.7916666666700001	1.0	19.56242939709763	42.91856461181641	-31.608192763824462	1545801.648	895.76	503.89999679999994
18.0	0.7916666666700001	1.0	19.585366424722693	42.95673447265625	-31.67041762878418	1545818.313	896.04	504.3199968
18.0	0.7916666666700001	1.0	19.552522690832127	42.855263525390626	-31.644818149108886	1545834.916	895.3100032	504.18
19.0	0.8333333333299999	1.0	19.535939269469296	42.834442907714845	-31.590701423187255	1545851.549	895.1100031999999	503.89999679999994
19.0	0.8333333333299999	1.0	19.490888713355286	42.87722092285156	-31.308020434875488	1545868.297	895.3900032	501.91000319999995
19.0	0.8333333333299999	1.0	19.526083938019127	42.81091385498047	-31.573665462036132	1545885.005	894.9399936	503.78999999999996
20.0	0.875	1.0	18.099817247124175	38.531472021484376	-30.314602218170165	1545901.468	864.4300032	496.8799968
20.0	0.875	1.0	13.909940017956023	26.12982254638672	-26.4058807711792	1545918.26	774.24	474.0
21.0	0.9166666666700001	1.0	9.946020748586827	15.61358719482422	-21.16796287109375	1545934.763	696.7100032000001	440.9200032
21.0	0.9166666666700001	1.0	7.00235035766632	8.334503942871095	-16.43098434020996	1545951.436	641.8000000000001	409.5
21.0	0.9166666666700001	1.0	4.6414222268697785	2.992531591796876	-11.804454646606445	1545968.198	600.6899968	377.83000319999996
21.0	0.9166666666700001	1.0	3.889120577343511	0.08190994873046975	-10.197030864257812	1545984.834	578.4300032	367.11
22.0	0.9583333333299999	1.0	1.503961621535381	-0.451651757812499	-3.9122827868652337	1546001.313	572.8099968	321.8299968
22.0	0.9583333333299999	1.0	1.0563568253399471	-1.0178558288574209	-2.5717485766601555	1546018.087	568.0700032	312.1099968
23.0	1.0	1.0	0.8183692623516053	0.4754760803222666	-2.089208446044921	1546034.58	579.2099968	308.61
23.0	1.0	1.0	1.2248137565117247	1.8870513977050791	-2.5930994372558587	1546051.37	589.9800064	311.8699968
23.0	1.0	1.0	1.334636113132086	2.1351249755859385	-2.766618571777343	1546068.017	591.8999936	313.0699968
24.0	1.04166666667	1.0	1.225645491810926	2.0357063354492198	-2.4809282641601555	1546084.521	590.1500032	311.1100032
24.0	1.04166666667	1.0	1.2119115761748078	1.968666845703126	-2.488748393554687	1546101.266	589.6499967999999	311.19
25.0	1.08333333333	1.0	1.2173910607231864	2.2521293701171885	-2.2558191638183587	1546117.921	590.6899968	309.16999680000004
25.0	1.08333333333	1.0	1.2143893787308675	2.3437126220703135	-2.1488970141601555	1546134.419	591.3400064	308.3500032
26.0	1.125	1.0	1.227852233407216	2.3845871032714854	-2.156381450195312	1546151.132	590.2999936	308.3500032
26.0	1.125	1.0	1.203297566446365	2.3259285034179698	-2.1252992968749993	1546167.85	589.8499968	308.14000319999997
27.0	1.16666666667	1.0	1.1904462509474747	2.3405921997070323	-2.058519206542968	1546184.304	588.9100032	307.98
27.0	1.16666666667	1.0	1.3376809826004898	2.486172491455079	-2.467325053710937	1546201.065	590.1399936	310.95
27.0	1.16666666667	1.0	1.875482780787237	2.7144096435546885	-4.093572459716796	1546217.74	592.4	322.86
28.0	1.20833333333	1.0	1.903485283908575	2.7867973388671885	-4.1334551196289055	1546234.217	591.6700032	323.8399968
28.0	1.20833333333	1.0	1.9707840281973017	2.745125585937501	-4.371011577148437	1546250.954	591.4399999999999	325.6000032
29.0	1.25	1.0	1.903972796764347	2.8185966552734385	-4.113385997314452	1546267.575	591.24	324.2599968
29.0	1.25	1.0	1.947492961278254	2.5613830627441416	-4.410703502197265	1546284.323	589.4199936	326.5300032
29.0	1.25	1.0	1.8720935479546428	2.5130241455078135	-4.209855876464843	1546300.964	588.9900032	325.0699968
30.0	1.29166666667	1.0	2.0610352697714887	2.7269104064941416	-4.658702693481445	1546317.428	590.1000064	328.2700032
30.0	1.29166666667	1.0	1.9861297133125102	2.586178594970704	-4.513311229248046	1546334.18	589.0	327.2500032
30.0	1.29166666667	1.0	2.0704590556378824	2.6829040588378916	-4.712631068725585	1546350.845	589.7900032	328.68
31.0	1.33333333333	1.0	2.1188563999342054	2.660885626220704	-4.870181880493163	1546367.363	589.1799936	328.4299968
31.0	1.33333333333	1.0	2.096929744615432	2.5170448364257823	-4.8814714770507805	1546384.131	588.1100031999999	328.56
32.0	1.375	1.0	2.2162653122818354	2.4752014221191416	-5.250919185180663	1546400.612	586.9800064	329.6500032
32.0	1.375	1.0	2.2513733494142403	2.4896972717285166	-5.345783076782226	1546417.394	587.12	330.3400032
33.0	1.41666666667	1.0	2.3165406619887907	2.2994735778808604	-5.615424953002929	1546433.903	586.12	331.1500032
33.0	1.41666666667	1.0	2.21067496154897	2.2396896423339854	-5.339719615478515	1546450.59	585.5800064	329.1499968
33.0	1.41666666667	1.0	2.2810291339081963	2.1307380737304698	-5.582034907836913	1546467.523	584.8499968	330.96
34.0	1.45833333333	1.0	2.3097019754279855	2.037617498779298	-5.696611247558593	1546483.789	585.7000064	330.63
34.0	1.45833333333	1.0	2.40586900348731	2.6510360778808604	-5.717553935546874	1546500.581	590.28	330.5899968
35.0	1.5	1.0	5.14735027644112	1.2459838928222666	-13.454532466430663	1546517.265	584.7000064	385.7599968
35.0	1.5	0.0	5.439373180796812	0.6214149536132823	-14.269656978149413	1546533.736	580.3500032000001	391.84999680000004
36.0	1.54166666667	0.0	28.256983386189347	-70.38206405029297	39.32157722900391	1546550.401	0.0	0.0
36.0	1.54166666667	0.0	28.256983386189347	-70.38206405029297	39.32157722900391	1546566.981	0.0	0.0
