frame_idx	timestamp	confidence	errorDeg	dxCm	dyCm	gaze_ts	gaze_x	gaze_y
1.0	0.07992771084	1.0	0.4937940119271468	-1.0568916259765615	-0.7444895129394524	907362.506	954.432	365.688
1.0	0.07992771084	1.0	0.6154330001602664	-1.194724267578124	-1.0811098437499993	907382.494	953.472	368.28000000000003
2.0	0.11989156627	1.0	0.7414030145978397	-1.3197700439453115	-1.423398814697265	907402.474	952.704	371.304
2.0	0.11989156627	1.0	0.7436555921349828	-1.2960197387695302	-1.45297034790039	907422.462	952.8960000000001	371.52
3.0	0.15985542169	1.0	0.6282958274714253	-1.1526519714355459	-1.17355140258789	907442.442	953.856	369.792
3.0	0.15985542169	1.0	1.2772243278636333	-1.2785026489257802	-3.0902918200683587	907462.456	953.472	384.264
4.0	0.19981927711	1.0	1.7793170778037513	-1.4395706115722646	-4.4317949633789055	907482.438	952.512	394.524
4.0	0.19981927711	1.0	1.8137682797391665	-1.4680854736328115	-4.5174578051757805	907502.424	952.3199999999999	395.172
5.0	0.23978313253	1.0	2.014507079929521	-1.5211593566894521	-5.052102885742187	907522.405	952.3199999999999	398.52
5.0	0.23978313253	1.0	1.9984679572108972	-1.5193817077636709	-5.0087202410888665	907542.394	952.3199999999999	398.196
6.0	0.27974698795	1.0	0.8306287732339686	-1.7929984985351552	1.2306996960449226	907562.399	947.904	351.0
6.0	0.27974698795	1.0	1.4217911228148754	-2.111136621093749	3.066572346191407	907582.388	944.832	337.068
7.0	0.31971084337000005	1.0	1.666191939346377	-2.273215478515624	3.7243749279785163	907602.368	943.68	331.884
7.0	0.31971084337000005	1.0	0.8967106442844657	-2.063204949951171	1.1203710217285163	907622.356	946.176	351.756
8.0	0.35967469879999997	1.0	0.8786909105970925	-2.0623008666992177	1.0196172375488288	907642.337	946.56	352.512
9.0	0.39963855422	1.0	0.8583340078939503	-2.011130517578124	1.002809681396485	907662.35	947.328	352.512
9.0	0.39963855422	1.0	0.821474721763991	-1.9397918640136709	0.9289724011230476	907682.332	947.904	353.052
10.0	0.43960240964	1.0	0.8157293902374931	-1.9222251831054677	0.9307767529296882	907702.319	948.288	353.16
10.0	0.43960240964	1.0	0.8121478620780845	-1.8692466674804677	1.0135289807128913	907722.299	948.672	352.512
11.0	0.47956626506	1.0	0.8926945169959922	-1.8772842346191396	1.3923284191894538	907742.287	948.48	349.70399999999995
11.0	0.47956626506	1.0	0.8662804107461038	-1.803672021484374	1.375135578613282	907762.264	949.056	349.812
12.0	0.51953012048	1.0	0.7612756451588822	-1.6565505920410146	1.108339466552735	907782.283	950.208	351.432
12.0	0.51953012048	1.0	0.6031846445854856	-1.4808418212890615	0.5485936779785163	907802.263	951.7439999999999	355.644
13.0	0.5594939759	1.0	1.199564165158995	-1.2291938720703115	2.8903981823730476	907822.25	952.704	337.176
13.0	0.5594939759	1.0	1.2570421060323311	-1.2477104125976552	3.045801319580079	907842.231	952.512	335.988
14.0	0.59945783133	1.0	0.9196886001202778	-1.2420608459472646	2.0628835339355476	907862.214	952.8960000000001	342.684
14.0	0.59945783133	1.0	1.0625978823832547	-1.2750274597167959	2.472833790283204	907882.196	952.512	339.552
15.0	0.6394216867500001	1.0	1.1318495236128534	-1.2120353637695302	2.70437828491211	907902.213	952.704	337.068
15.0	0.6394216867500001	1.0	1.2318142753019325	-1.2506782470703115	2.973024525146485	907922.193	952.3199999999999	335.01599999999996
16.0	0.67938554217	1.0	1.1775631717640282	-1.1833908020019521	2.8471471447753913	907942.182	952.704	335.232
16.0	0.67938554217	1.0	1.1084642736252257	-1.2921745239257802	2.5987912792968757	907962.157	951.936	337.176
17.0	0.7193493975899999	1.0	1.1157950442738311	-1.4747955261230459	2.5219480175781257	907982.145	951.168	337.176
17.0	0.7193493975899999	1.0	1.272449435136814	-1.5056030212402334	2.9722272534179695	908002.126	950.784	333.71999999999997
18.0	0.7593132530100001	1.0	1.1073547049349388	-1.6194946228027334	2.4049550671386726	908022.144	950.4	338.47200000000004
18.0	0.7593132530100001	1.0	1.0064540851010455	-1.6331626831054677	2.068056263427735	908042.125	950.4	341.064
19.0	0.79927710843	1.0	0.9037564683784816	-1.6928893981933584	1.6532231945800788	908062.108	950.4	344.628
19.0	0.79927710843	1.0	0.7889660511629983	-1.6604721008300771	1.2286969799804695	908082.09	950.784	347.868
20.0	0.83924096386	1.0	0.6537546812391823	-1.598777001953124	0.6111356396484382	908102.077	951.36	352.94399999999996
20.0	0.83924096386	1.0	0.6105170681599589	-1.5931655822753896	0.12913338134765695	908122.057	951.552	356.616
21.0	0.87920481928	1.0	0.6143426273848852	-1.6029426513671865	-0.13246711303710867	908142.045	951.936	358.344
21.0	0.87920481928	1.0	0.6293446362334831	-1.5228988586425771	0.6290074963378913	908162.052	952.3199999999999	352.512
22.0	0.9191686747	1.0	0.6166090447488047	-1.4932586608886709	0.6134130139160163	908182.04	952.8960000000001	352.62
22.0	0.9191686747	1.0	0.5938220353445329	-1.501944726562499	0.4014798779296882	908202.021	952.8960000000001	354.24
23.0	0.95913253012	1.0	0.5927963411885905	-1.5439712463378896	0.15758720825195383	908222.007	953.088	355.968
23.0	0.95913253012	1.0	0.5837139966739915	-1.5186492858886709	0.17069832275390695	908241.989	953.28	355.86
24.0	0.99909638554	1.0	0.621059429901146	-1.520713037109374	0.575575031738282	908262.002	953.664	352.404
24.0	0.99909638554	1.0	0.6540387927925201	-1.4317886291503896	0.9392034191894538	908281.984	954.24	349.596
25.0	1.03906024096	1.0	0.6425277117983875	-1.329367822265624	1.0308210034179695	908301.972	954.816	348.84000000000003
25.0	1.03906024096	1.0	0.6208727964901894	-1.2810966430664052	1.0005284924316413	908321.951	955.2	349.056
26.0	1.0790240963900002	1.0	0.5779435290500741	-1.004294580078124	1.131757893066407	908341.939	957.312	347.65200000000004
26.0	1.0790240963900002	1.0	0.6116810680454328	-1.1277419982910146	1.1370145458984382	908361.916	956.352	347.65200000000004
27.0	1.1189879518099999	1.0	0.6491257653356818	-1.0593597351074209	1.3289052624511726	908381.934	956.544	346.03200000000004
27.0	1.1189879518099999	1.0	0.5027963468487181	-1.0300170837402334	0.8196622509765632	908401.915	956.928	349.92
28.0	1.15895180723	1.0	0.4078242125487384	-1.0600921569824209	0.12722603271484445	908421.902	956.736	355.21200000000005
28.0	1.15895180723	1.0	0.40883983382161565	-1.0680190979003896	-0.07072623779296805	908441.883	956.736	356.724
29.0	1.1989156626500002	1.0	0.5228968786342699	-1.1472961364746084	-0.7468698840332024	908461.866	956.16	362.23199999999997
29.0	1.1989156626500002	1.0	0.823583335503818	-1.2133056579589834	-1.7825411181640618	908481.878	955.9680000000001	370.116
30.0	1.2388795180699999	1.0	1.0353504629128871	-1.2041313110351552	-2.4287241320800774	908501.866	955.7760000000001	375.408
30.0	1.2388795180699999	1.0	2.060564097676667	0.6029098571777354	-5.363088450927734	908521.844	970.56	396.9
31.0	1.27884337349	1.0	1.2973287642980198	0.026100927734376	-3.39687903930664	908541.833	965.1840000000001	382.536
31.0	1.27884337349	1.0	3.1881648310907478	-0.5654251037597646	-8.336067042846679	908561.81	962.112	419.58000000000004
32.0	1.31880722892	1.0	1.1729402391224253	-0.5853607116699209	-3.014879069824218	908581.798	960.384	379.404
32.0	1.31880722892	1.0	0.27222074809693925	-0.6508743225097646	-0.2902963977050774	908601.808	959.04	358.776
33.0	1.35877108434	1.0	0.4637667842243026	-0.5652801452636709	1.0745488781738288	908621.797	959.04	347.65200000000004
33.0	1.35877108434	1.0	0.9532665634956098	-0.5354949890136709	2.4377538342285163	908641.777	958.8480000000001	337.176
34.0	1.3987349397600002	1.0	1.2832304436835378	-0.4137908874511709	3.334474720458985	908661.761	959.616	329.724
34.0	1.3987349397600002	1.0	1.1659302037237953	-0.40139693603515525	3.0263158459472663	908681.741	959.808	332.1
35.0	1.4386987951799999	1.0	1.1158579467604504	-0.4561950622558584	2.8858434338378913	908701.759	960.0	332.856
35.0	1.4386987951799999	1.0	1.2945812781312014	-0.585868066406249	3.338770069580079	908721.74	958.8480000000001	329.4
36.0	1.4786626506	1.0	1.45598227969115	-0.7030898986816396	3.747183002929688	908741.727	958.08	326.15999999999997
36.0	1.4786626506	1.0	1.3111484108285218	-0.7185470520019521	3.357141651611329	908761.709	958.08	329.184
37.0	1.5186265060200002	1.0	1.2389776576255365	-0.6406356750488271	3.180257954101563	908781.692	958.08	330.91200000000003
37.0	1.5186265060200002	1.0	1.1252553227682447	-0.6526176391601552	2.873102344970704	908801.672	958.08	333.288
38.0	1.55859036145	1.0	0.959757320903045	-0.6414215026855459	2.4296323437500007	908821.69	957.696	336.52799999999996
38.0	1.55859036145	1.0	1.5566959309451658	-0.5038291870117177	4.045168079833985	908841.671	958.2719999999999	324.0
39.0	1.59855421687	1.0	1.0097908562883189	-0.7136642395019521	2.545759357910157	908861.659	957.12	334.8
39.0	1.59855421687	1.0	1.2949032143360575	-0.9058067260742177	3.2673932690429695	908881.636	955.3919999999999	329.29200000000003
40.0	1.63851807229	1.0	1.4494855641337063	-0.8151008544921865	3.7069989819335945	908901.623	955.7760000000001	325.62
40.0	1.63851807229	1.0	1.2827270106905582	-0.8084594665527334	3.25998131225586	908921.634	955.9680000000001	329.076
41.0	1.67848192771	1.0	1.0654127438659702	-0.7384063659667959	2.6900617260742195	908941.622	957.12	333.504
41.0	1.67848192771	1.0	0.9296463205416486	-0.6784469543457021	2.33755699584961	908961.603	957.696	336.204
42.0	1.7184457831300002	1.0	0.9527300317456459	-0.6978332458496084	2.3948728222656257	908981.586	957.696	336.42
42.0	1.7184457831300002	1.0	0.9243737031107706	-0.6759368835449209	2.323908009033204	909001.567	957.888	336.96
43.0	1.75840963855	1.0	0.9171595541341611	-0.6368858276367177	2.3153249401855476	909021.554	958.08	337.5
43.0	1.75840963855	1.0	0.812571424246342	-0.6231262145996084	2.0341474194335945	909041.535	958.2719999999999	339.66
44.0	1.79837349398	1.0	0.8291223733217853	-0.6555320678710927	2.0694448132324226	909061.523	958.08	339.012
44.0	1.79837349398	1.0	0.7388598342439554	-0.590628808593749	1.8420659680175788	909081.529	958.6560000000001	340.74
45.0	1.8383373494	1.0	0.5904463687380042	-0.5837203918457021	1.4313947338867195	909101.518	958.8480000000001	343.548
45.0	1.8383373494	1.0	0.494781922826812	-0.5696136413574209	1.1634084362792976	909121.498	959.04	345.6
46.0	1.87830120482	1.0	1.0786088607111377	-0.6493255554199209	2.748464741210938	909141.485	958.08	333.072
46.0	1.87830120482	1.0	1.4149077947721422	-0.7859184204101552	3.620657124023438	909161.467	956.736	326.37600000000003
47.0	1.91826506024	1.0	4.325185382290179	-10.962397760009765	2.92093101928711	909181.48	878.208	334.90799999999996
47.0	1.91826506024	1.0	13.42218331743532	-17.448786920166015	31.255773701171876	909201.461	811.1999999999999	107.352
48.0	1.9582289156600001	1.0	15.515349690597555	-32.23854560241699	26.357713856201173	909221.448	695.808	154.764
48.0	1.9582289156600001	1.0	19.12205781667961	-40.109903520202636	33.10448280761719	909241.43	626.304	100.98
49.0	1.99819277108	1.0	18.142696604683643	-39.737164682006835	28.927648701171876	909261.417	633.6	136.29600000000002
49.0	1.99819277108	1.0	21.686309575581273	-51.228548234558104	30.55889717529297	909281.425	539.904	127.224
50.0	2.03815662651	1.0	19.78681665374989	-41.95962256774902	33.93434730957031	909301.412	610.368	94.824
50.0	2.03815662651	1.0	22.314266415932327	-54.487509912109374	28.655347980957032	909321.392	515.712	144.612
51.0	2.07812048193	1.0	22.472795353203704	-55.14354414329529	28.44678322265625	909341.381	510.33599999999996	146.448
51.0	2.07812048193	1.0	19.922134691983384	-42.02105826721191	34.49291817138672	909361.361	608.832	89.856
52.0	2.11808433735	1.0	19.860964974649434	-42.26441211090088	33.90562263916016	909381.375	607.872	95.03999999999999
52.0	2.11808433735	1.0	19.866829120482304	-42.3732072769165	33.797399677734376	909401.355	607.1039999999999	96.012
53.0	2.15804819277	1.0	19.897994617118357	-42.61275023803711	33.64396492431641	909421.343	605.952	97.092
53.0	2.15804819277	1.0	19.803829495442873	-42.567778771972655	33.25005928466797	909441.324	606.72	100.44
54.0	2.19801204819	1.0	19.674847355282427	-42.19066829071045	33.113432087402344	909461.312	610.5600000000001	101.19600000000001
54.0	2.19801204819	1.0	19.61769123667333	-42.175009912109374	32.859586872558594	909481.288	610.944	103.356
55.0	2.2379759036099998	1.0	21.12140406925801	-49.0821391998291	30.798002399902344	909501.336	557.76	123.76799999999999
55.0	2.2379759036099998	1.0	20.178276361146423	-44.34542865142822	32.74468819091797	909521.286	593.664	105.3
56.0	2.27793975904	1.0	19.97018358995602	-43.58578509674072	32.73085609863281	909541.275	599.232	105.624
56.0	2.27793975904	1.0	19.8786152138606	-43.39643878326416	32.53129402587891	909561.255	600.96	107.244
57.0	2.31790361446	1.0	19.83462196883099	-43.22798652038574	32.53877083251953	909581.239	601.3439999999999	106.812
57.0	2.31790361446	1.0	19.930460186517834	-43.41391009674072	32.76347176025391	909601.249	599.616	104.976
58.0	2.35786746988	1.0	20.08191448441236	-43.708525842285155	33.11839882324219	909621.237	596.544	101.952
58.0	2.35786746988	1.0	20.116755398016657	-43.79669589385986	33.17329231689453	909641.219	595.7760000000001	101.52
59.0	2.3978313253000003	1.0	20.198548411563472	-44.22548694000244	33.00733009765625	909661.206	592.704	102.708
59.0	2.3978313253000003	1.0	20.160916335858953	-44.25474376068115	32.78056160400391	909681.182	592.704	104.652
60.0	2.4377951807200002	1.0	20.175262918187123	-44.24024409637451	32.8716489453125	909701.17	592.8960000000001	103.248
60.0	2.4377951807200002	1.0	20.199296834705592	-44.308013146972655	32.90019813964844	909721.181	592.3199999999999	103.032
61.0	2.4777590361399997	1.0	20.216705446743106	-44.63499802932739	32.543119587402344	909741.17	590.0160000000001	105.624
61.0	2.4777590361399997	1.0	20.20745430957938	-44.700288957214354	32.40654579589844	909761.149	589.632	106.812
62.0	2.5177228915699996	1.0	20.190179826780756	-45.04802674636841	31.832502521972657	909781.134	587.52	110.592
62.0	2.5177228915699996	1.0	20.150198906428695	-45.080848401641845	31.57940498779297	909801.113	587.52	112.75200000000001
63.0	2.55768674699	1.0	19.158100850990305	-43.840276902770995	28.173559345703126	909821.101	602.112	139.536
63.0	2.55768674699	1.0	19.125479496970804	-43.89823073730469	27.905203022460938	909841.082	601.92	141.804
64.0	2.59765060241	1.0	20.069956657975382	-45.737204736328124	30.1907407421875	909861.069	586.752	121.716
64.0	2.59765060241	1.0	20.123278606108386	-45.92952269897461	30.186514057617188	909881.077	585.216	121.824
65.0	2.6376144578300003	1.0	20.214135106507907	-46.42468375549316	29.920599140625	909901.064	583.872	122.688
65.0	2.6376144578300003	1.0	20.117403577832473	-46.18045062408447	29.769033588867188	909921.045	585.984	123.87599999999999
66.0	2.67757831325	1.0	20.09049970080532	-45.968777364349364	29.9487973828125	909941.032	589.824	121.392
66.0	2.67757831325	1.0	20.110662887242878	-45.891901677703856	30.175550617675782	909961.013	590.208	119.44800000000001
67.0	2.71754216867	1.0	20.18971111448869	-45.852879708862304	30.65930000732422	909981.028	591.552	115.02
67.0	2.71754216867	1.0	15.277423333428766	-35.93449324951172	19.682565845947266	910001.007	680.448	202.82399999999998
68.0	2.7575060241	1.0	11.612853562238682	-17.32178420410156	25.498556293945313	910020.995	825.984	148.284
68.0	2.7575060241	1.0	10.499497268904136	-5.787043756103515	27.190477528076173	910040.976	918.912	129.924
