frame_idx	timestamp	confidence	errorDeg	dxCm	dyCm	gaze_ts	gaze_x	gaze_y
0.0	0.03996540993	1.0	0.8543382876891249	0.00036316528320412544	-2.2368181567382805	139475.517	877.6320000000001	363.852
0.0	0.03996540993	1.0	0.8986546800592726	0.0012443603515635004	-2.3528650622558587	139495.5	877.6320000000001	364.716
0.0	0.03996540993	1.0	0.8830264972215836	-0.07464904174804587	-2.310735545654296	139515.482	877.0559999999999	364.392
1.0	0.07993081986999999	1.0	0.8548898690204666	-0.23535079345703025	-2.2258547167968743	139535.499	875.904	363.528
1.0	0.07993081986999999	1.0	0.8222540736720291	-0.3369209228515615	-2.1262758593749993	139555.481	875.136	362.772
2.0	0.1198962298	1.0	0.7953754374653618	-0.2902595458984365	-2.0620935778808587	139575.467	874.1759999999999	361.908
2.0	0.1198962298	1.0	0.7768552750386232	-0.3411437927246084	-2.005113444824218	139595.445	873.792	361.476
3.0	0.15986163973999998	1.0	0.7685319583069505	-0.06683272705078025	-2.011022410888671	139615.432	873.216	361.476
3.0	0.15986163973999998	1.0	0.7714969835301181	-0.16757125244140525	-2.0129335742187493	139635.413	872.4480000000001	361.476
4.0	0.19982704967	1.0	0.7397064431519574	0.01626663818359475	-1.9365862231445305	139655.4	871.488	361.476
4.0	0.19982704967	1.0	0.7149908511287855	-0.13527984008788962	-1.8670442919921868	139675.411	870.336	360.936
5.0	0.23979245961	1.0	0.6667172549968534	-0.08559722290038962	-1.7434404711914055	139695.395	869.376	360.936
5.0	0.23979245961	1.0	0.6903028685158444	-0.13549727783203025	-1.8022096972656243	139715.375	868.992	361.368
6.0	0.27975786954	1.0	0.719914456556809	-0.16311187133788962	-1.8777597766113274	139735.363	868.992	362.23199999999997
6.0	0.27975786954	1.0	0.7749497489726701	-0.16220015869140525	-2.0224436145019524	139755.344	868.992	363.31199999999995
7.0	0.31972327947	1.0	0.8233117843413288	-0.34310836181640525	-2.128091655273437	139775.361	868.8000000000001	364.716
7.0	0.31972327947	1.0	0.7986068216491924	-0.4442550598144521	-2.0431421618652337	139795.339	868.032	364.068
8.0	0.35968868941	1.0	0.7970182750317393	-0.599509423828124	-1.9987505297851555	139815.326	867.84	363.852
8.0	0.35968868941	1.0	0.7894816933240015	-0.6248237548828115	-1.9702890734863274	139835.307	867.648	363.636
9.0	0.39965409934	1.0	0.7849023993794139	-0.6236564575195302	-1.9580782275390618	139855.294	867.648	363.31199999999995
9.0	0.39965409934	1.0	0.754941321999501	-0.6746398864746084	-1.857847056884765	139875.305	867.264	362.556
10.0	0.43961950928	1.0	0.6990430777354075	-0.6558525024414052	-1.7086313586425774	139895.289	867.264	361.368
10.0	0.43961950928	1.0	0.6710824979882455	-0.7067634521484365	-1.60854896118164	139915.269	866.88	360.61199999999997
11.0	0.47958491921	1.0	0.6450092607850567	-0.7056915222167959	-1.5341814379882805	139935.256	866.6880000000001	360.07199999999995
11.0	0.47958491921	1.0	0.6344002476706996	-0.731101220703124	-1.49136146118164	139955.238	866.496	359.748
12.0	0.51955032914	1.0	0.6663397531126509	-0.8400451599121084	-1.5289820056152337	139975.225	866.6880000000001	359.208
12.0	0.51955032914	1.0	0.676596397236378	-0.7895461975097646	-1.5857179980468743	139995.232	867.072	359.64000000000004
13.0	0.55951573908	1.0	0.7089344368534268	-0.8011619506835927	-1.6742685656738274	140015.22	867.84	359.748
13.0	0.55951573908	1.0	0.6805563977155815	-0.7513610778808584	-1.6156061511230462	140035.2	868.2239999999999	359.316
14.0	0.5994811490099999	1.0	0.7027261531879404	-0.7015029846191396	-1.7008379321289055	140055.189	868.8000000000001	358.99199999999996
14.0	0.5994811490099999	1.0	0.7072849610499808	-0.6260063110351552	-1.7427385668945305	140075.169	869.376	359.316
15.0	0.63944655895	1.0	0.7570730202127888	-0.5903045593261709	-1.8921869616699212	140095.153	869.76	359.64000000000004
15.0	0.63944655895	1.0	0.7618462411581466	-0.4896804748535146	-1.9335840563964837	140115.163	870.528	359.964
16.0	0.67941196888	1.0	0.7344996192787552	-0.6296455322265615	-1.8170183520507805	140135.151	870.912	358.99199999999996
16.0	0.67941196888	1.0	0.6800218303786555	-0.5300361572265615	-1.6996477465820305	140155.133	871.6800000000001	358.128
17.0	0.71937737882	1.0	0.6594455384139007	-0.7986099182128896	-1.5306948046874993	140175.119	872.064	356.508
17.0	0.71937737882	1.0	0.5633707841562743	-0.7251769958496084	-1.2843645434570305	140195.095	872.64	354.672
18.0	0.7593427887499999	1.0	0.5328926896099405	-0.7735778747558584	-1.1610430102539055	140215.084	873.024	353.484
18.0	0.7593427887499999	1.0	0.509266835829656	-0.7490302978515615	-1.1030062060546868	140235.094	873.216	353.052
19.0	0.79930819868	1.0	0.43674238453597214	-0.638724511718749	-0.9483774523925774	140255.083	873.216	353.052
19.0	0.79930819868	1.0	0.43674238453597214	-0.638724511718749	-0.9483774523925774	140275.063	873.216	353.052
20.0	0.83927360862	1.0	0.318554685871267	-0.4356414733886709	-0.7111566882324212	140295.047	873.792	352.728
20.0	0.83927360862	1.0	0.3325448169885815	-0.4099685607910146	-0.7680414538574212	140315.027	873.984	353.16
21.0	0.87923901855	1.0	0.3475105791112286	-0.20001525268554587	-0.8875330310058587	140335.015	874.368	354.456
21.0	0.87923901855	1.0	0.3926107413476539	-0.22374266967773337	-1.003221354980468	140355.027	874.1759999999999	355.32
22.0	0.9192044284900001	1.0	0.44792411111956365	-0.180228417968749	-1.1587541918945305	140375.013	873.984	356.83200000000005
